@RELATION wiki_binned_better_wordcount_not_normalized
@ATTRIBUTE pageid Numeric
@ATTRIBUTE num_links_in Numeric
@ATTRIBUTE org_percentage Numeric
@ATTRIBUTE num_negative_words   Numeric
@ATTRIBUTE num_images   Numeric
@ATTRIBUTE edu_percentage   Numeric
@ATTRIBUTE other_percentage     Numeric
@ATTRIBUTE num_categories   Numeric
@ATTRIBUTE num_positive_words   Numeric
@ATTRIBUTE num_words    Numeric
@ATTRIBUTE net_percentage Numeric
@ATTRIBUTE num_controversial_words  Numeric
@ATTRIBUTE gov_percentage   Numeric
@ATTRIBUTE com_percentage   Numeric
@ATTRIBUTE num_links_out    Numeric
@ATTRIBUTE num_references   Numeric
@ATTRIBUTE isControversial  {yes,no}
@DATA
18253454,9, 0.527027027027027,36,4, 0.10810810810810811, 0,9,266,42973, 0,0, 0.14864864864864866,0.21621621621621623,46,74,no
58809,1442, 0.264,137,20, 0.02, 0.208,23,252,55276, 0.024,8, 0.06,0.424,494,250,yes
412059,156, 0.3050847457627119,129,20, 0.0847457627118644, 0.13559322033898305,29,314,79501, 0,0, 0.05084745762711865,0.423728813559322,318,59,no
25717487,39, 0.6666666666666666,2,4, 0, 0,9,6,1429, 0,0, 0,0.3333333333333333,26,3,no
915081,646, 0.14705882352941177,77,2, 0, 0.14705882352941177,11,373,54237, 0,0, 0.38235294117647056,0.3235294117647059,186,34,no
43206,2089, 0.4067796610169492,75,40, 0.06779661016949153, 0.3220338983050847,28,325,67330, 0,0, 0.03389830508474576,0.1694915254237288,797,59,no
8269855,490, 0.1262135922330097,16,11, 0.1553398058252427, 0,38,64,17019, 0,1, 0.009708737864077669,0.7087378640776699,234,103,yes
18154,276, 0.38461538461538464,59,3, 0.38461538461538464, 0.15384615384615385,11,1012,75757, 0,0, 0,0.07692307692307693,301,13,no
32073,2205, 0.2826747720364742,85,65, 0.015197568389057751, 0.11550151975683891,35,368,80681, 0.0243161094224924,1, 0,0.5623100303951368,548,329,no
25454239,466, 0.43243243243243246,11,5, 0.05405405405405406, 0.2702702702702703,13,52,12176, 0,0, 0,0.24324324324324326,217,37,yes
