pageid,num_positive_words,num_negative_words,num_controversial_words
19344654,154,30,0
4545,249,165,2
4173,227,115,2
867145,26,20,0
19360669,72,24,0
3979,92,35,0
534366,159,43,11
335069,51,17,0
72336,164,22,1
4375,93,44,0
4792,129,59,7
364813,147,46,5
3738,88,49,0
447382,96,49,0
3205662,47,33,0
501984,98,32,0
3427,93,36,1
699349,124,60,2
19283178,291,151,0
3722,178,79,0
20650188,64,48,0
41353912,112,25,0
44431,29,19,2
2100861,22,27,0
4116,176,74,1
1555010,109,42,0
3356,161,60,19
188564,85,39,3
191941,35,6,3
51614,82,33,2
321263,59,38,7
239098,132,19,0
3803886,20,11,0
244098,32,12,1
44751865,107,57,2
4874,110,45,0
20648200,102,52,0
851008,22,17,0
65426,2,1,0
88857,107,57,0
55309,90,43,0
5030,67,67,0
11015826,89,39,0
27417455,46,22,2
64692,124,102,2
68244,135,71,0
392807,115,61,1
5574594,71,39,1
186319,269,94,2
23278520,132,41,7
4950,91,35,0
3463,159,26,1
44849,90,15,2
70547,126,86,15
8269855,25,16,1
3845,56,22,2
4294,248,84,3
3382,161,25,2
38748,160,60,2
73887,24,8,0
773158,94,29,1
639800,106,64,1
3267529,193,77,0
23278125,100,48,0
682722,17,5,0
24133117,42,37,1
87179,67,42,0
62028,76,19,4
46924,78,77,4
773158,94,29,1
5407,159,25,5
6852,78,39,1
160811,70,21,0
5042916,117,16,1
105219,124,94,11
5902,84,66,118
5416,319,108,3
42031,124,47,0
685631,10,12,0
2184033,22,6,0
537968,130,73,13
5282,58,22,0
425757,73,28,0
2450993,39,7,1
6822,128,27,0
678255,24,14,2
606848,219,67,7
553050,37,5,0
5920,29,11,0
17253537,64,45,0
320023,142,38,1
68319,58,13,2
6907,79,13,0
42635,38,30,5
51255,417,208,5
278119,44,17,0
80696,192,64,5
6100,5,1,0
50490,111,34,1
6886,164,26,2
5945,118,24,1
5465786,7,0,0
1651190,26,12,3
250193,47,17,0
5405,173,20,5
5751,96,28,2
15147453,35,11,3
7738,162,110,0
2627820,90,49,0
5847204,98,63,12
196570,14,5,1
125309,163,126,0
63317,148,42,33
5211,228,53,1
345597,53,16,0
5635,152,53,0
73626,125,44,0
1281795,29,17,1
6438,63,16,0
6671,166,43,1
8718425,101,81,0
28291766,114,83,12
8389,95,114,2
6910,88,28,0
5987,116,29,3
208413,63,32,1
191704,81,57,0
241649,22,26,0
325329,191,60,4
7463,162,191,1
13886661,63,22,0
20914042,54,14,0
9209651,87,22,0
215623,35,13,0
215623,35,13,0
158177,107,61,5
7023,241,160,1
95801,67,15,0
2298740,184,56,8
6623,181,80,0
41568624,327,97,0
5530,72,18,1
5919,18,5,0
7283,17,11,7
26410,110,84,0
5278,82,63,0
18948365,117,77,0
5648,145,27,0
5714828,71,21,1
5655,119,56,1
7683,102,65,0
5326,146,57,0
49823,64,28,0
5785,79,63,1
7172656,36,22,1
2279619,121,12,0
23818735,105,60,0
8931878,52,17,0
709683,32,27,0
1046514,117,89,3
7339782,47,32,0
69801,86,16,0
4412145,110,32,0
6760,40,33,0
36662188,63,20,0
5042481,135,45,4
6827,175,130,5
1008588,88,34,0
181322,31,18,6
32492747,130,77,2
19005719,51,47,1
5593,140,28,1
183570,201,66,3
252854,95,40,0
20648089,83,48,1
235169,36,31,0
605837,31,9,1
339365,52,14,0
456252,104,51,2
9442699,11,7,0
10431114,31,7,0
12686162,22,9,0
8103,131,48,0
8582,210,81,0
187807,30,7,2
76762,128,40,0
67363,40,10,0
1558354,31,7,1
70197,37,16,1
1434711,28,14,0
37514,97,58,0
8687,149,37,4
310331,89,22,0
9090,75,50,0
3020357,33,3,0
5058628,119,52,9
8835,103,35,0
18938226,195,84,1
8271,47,20,0
8683,72,11,0
7966,202,36,0
8900,113,43,3
932915,102,37,0
40147,212,80,2
11040148,113,41,0
3162905,139,30,5
18978563,233,94,1
18978563,233,94,1
8629,69,41,2
4848272,164,62,26
726651,72,11,0
1643647,20,9,0
1635659,92,58,1
7941,53,50,0
1112855,71,18,2
37335,37,19,2
9311172,18,4,0
8632,189,54,0
19767582,58,14,1
143840,50,32,0
59749,74,26,0
8305,36,22,0
13058,145,39,2
10186,493,181,1
40817590,81,105,6
140256,11,4,0
380782,68,6,0
303522,35,21,1
2945164,16,3,0
15578,107,25,0
9231869,4,1,0
39626432,136,104,4
1864257,25,7,0
1765384,117,56,0
20611030,16,15,0
16105186,138,45,0
4217297,26,23,0
371301,129,51,32
18307757,60,6,2
5052197,119,22,2
9288,352,116,2
4429395,115,55,2
100627,89,20,0
10287,89,51,1
4809279,10,0,0
169836,103,42,0
35494376,65,30,0
12322101,15,7,0
2858505,28,3,12
39768,94,25,0
399615,31,8,2
10501,112,37,1
564204,112,28,0
9258,213,79,1
105004,76,31,0
105004,76,31,0
9737,58,39,3
9317,170,32,6
1256013,159,14,2
9587,90,60,1
51584,169,82,1
10370,136,17,1
9236,229,50,0
9588,75,21,0
7529378,232,40,12
11469677,116,57,6
7550182,36,15,0
55174,198,95,0
187586,144,20,0
231085,123,22,12
10653,48,25,3
11054,186,54,11
55974,121,45,0
164394,82,18,0
144896,80,44,3
11408,98,78,0
11185,140,48,6
142721,157,57,4
945404,56,14,0
38193,18,5,0
38301,192,61,6
18949797,43,21,0
236489,9,5,0
2553981,12,2,0
60290,7,5,0
103123,29,5,2
50482,56,21,1
146978,46,33,0
43047687,187,110,7
48146,51,9,1
11121,99,42,15
11121,99,42,15
415961,36,16,0
5843419,336,51,7
445861,24,6,2
10979,229,73,14
42068,126,29,0
10635,65,39,0
21401843,168,38,0
59212,86,38,2
83933,47,23,0
1385923,39,11,0
10671,236,83,0
11986472,25,13,0
11582,39,17,0
88750,37,36,0
179342,20,5,0
501787,34,21,0
29688374,172,68,1
11921,64,26,1
18723138,89,25,0
43758363,94,72,1
92656,195,84,5
1457022,89,34,1
13070,150,45,4
38076,211,86,22
12383,78,22,5
550948,6,2,0
216102,39,23,9
67918,27,19,0
12441,79,49,1
106402,32,30,0
41940,211,68,2
158879,63,20,0
11955,198,76,6
331028,13,6,0
3414021,191,70,10
35075784,31,23,2
5030380,168,79,12
156507,39,9,0
23306893,61,17,1
13058,145,39,2
718108,1,4,0
2008784,79,43,0
594388,88,3,0
15131007,14,4,1
418944,143,54,10
295445,84,37,12
5042951,151,42,45
299078,81,48,13
294295,62,66,2
12471,158,45,0
5042765,116,67,0
66578,71,21,0
19568112,175,56,157
1092923,146,29,7
2282040,35,17,0
12905,57,26,0
4321115,7,3,0
19283335,133,108,20
72727,87,27,0
21350772,129,31,8
4851478,30,8,1
44276,41,25,29
12686,123,109,7
2773076,204,101,0
167936,143,23,0
26152,100,40,0
11065091,65,21,0
14170,84,33,3
59097,63,17,0
14091,51,43,0
203237,39,25,1
13913,294,129,5
187273,126,56,0
19389318,6,9,2
155160,14,8,0
124802,82,76,0
4748957,9,2,0
2387806,196,51,1
3418303,207,80,6
195306,153,72,1
20200414,23,14,0
13547,84,187,0
437067,64,67,0
14233,93,99,1
35751103,42,25,0
261925,149,7,1
16463132,107,22,0
17173785,92,27,0
13869,150,40,1
336056,42,24,1
402030,13,5,0
13436,165,63,0
13371,149,45,0
1438445,24,7,1
14183,41,26,0
13457,34,12,0
4868935,104,39,0
13919,175,66,4
38873148,124,70,1
2366752,28,22,9
5043192,247,79,12
18945847,229,40,0
2632114,269,68,1
18945847,229,40,0
47646,203,30,1
56120,47,22,1
56120,47,22,1
364326,42,24,0
13808,325,72,1
1560218,102,36,1
210728,193,51,3
23713759,50,42,0
10396793,106,83,1
1007688,76,56,0
14229,182,149,0
5097395,57,82,3
5488304,191,87,6
8322947,108,28,1
113348,136,32,3
48874,192,78,11
14094,42,17,2
10326,153,39,1
47878,119,117,2
2569378,102,63,2
254637,25,13,0
32544339,129,25,1
35039706,68,31,0
8798949,241,98,3
381399,78,19,2
2269463,156,50,0
6502961,51,32,0
638066,27,20,0
70842,66,21,0
288343,86,13,0
13545731,2,1,0
294934,103,28,5
319302,126,42,0
14912,90,40,2
294545,129,31,0
18935277,4,3,0
19572217,141,90,2
1166630,38,14,0
15295,167,105,0
152772,53,14,1
23430752,32,15,0
14539,142,29,9
294813,99,50,0
243433,103,44,3
147575,180,34,9
14726,133,99,2
775859,86,26,0
15226,92,35,2
6037917,173,62,0
162173,91,92,3
9282173,189,40,1
46216,213,78,4
125320,269,44,4
14532,243,36,1
16044,56,33,2
308131,41,21,1
1103138,149,73,1
64372,118,38,2
39764,75,34,14
16016,290,75,1
23819805,42,17,0
498971,180,73,3
1840589,4,9,1
16099,29,18,0
15573,187,28,4
46884,173,99,1
15606,112,57,1
162870,119,26,2
49955,58,25,8
189322,92,38,9
16218,150,90,3
6253522,19,12,5
52547,164,58,1
16175,145,24,1
11494260,59,25,0
175220,83,41,10
16504,75,47,3
21207345,64,8,1
442163,58,5,1
133250,166,63,24
18603579,75,23,12
46827,65,36,1
1095706,220,110,0
983366,5,0,0
1131183,177,31,8
25955086,108,27,0
25955086,108,27,0
19481110,40,33,2
15135713,87,36,1
53869,61,36,0
15992,243,63,26
255722,35,18,0
186639,22,10,1
38100116,70,79,11
6260914,63,84,7
145422,243,124,14
166163,73,45,6
5119376,231,102,11
4689709,83,25,0
5122699,124,60,8
15852,168,82,5
15898,111,41,0
212187,77,17,1
43715,207,77,7
657205,9,12,2
291592,36,18,2
347086,16,20,0
25011929,15,13,1
168926,51,44,0
335077,70,45,4
235888,127,29,5
2263372,70,67,2
175552,60,30,2
609523,42,35,2
15777,170,55,1
32387701,111,50,2
15641,252,118,2
1641893,18,1,0
23486968,207,42,7
59172,55,44,0
59564,15,10,0
26033941,59,38,6
49544,65,19,0
5507411,14,11,1
340867,33,5,0
16905,292,88,0
523032,149,49,0
16743,194,60,0
19329135,61,23,2
17337,39,14,0
16881,83,47,19
343858,24,3,0
11366634,60,48,0
16477368,113,12,2
273437,62,14,3
198081,19,7,0
186589,58,34,2
286369,89,52,0
644622,24,10,3
752553,17,2,0
26232,136,66,1
17396,47,13,3
169376,28,16,0
6975043,24,14,1
19718837,68,19,0
5962511,60,20,0
154099,69,35,1
19394613,42,5,0
327664,20,7,1
246185,151,49,0
41586875,4,0,0
264062,29,22,1
16772,180,106,4
