@RELATION wiki_binned
@ATTRIBUTE num_categories   Numeric
@ATTRIBUTE num_words    Numeric
@ATTRIBUTE num_images   Numeric
@ATTRIBUTE num_links_in Numeric
@ATTRIBUTE num_links_out    Numeric
@ATTRIBUTE num_references   Numeric
@ATTRIBUTE num_revisions    Numeric
@ATTRIBUTE article_age_in_days  Numeric
@ATTRIBUTE avg_revs_per_day Numeric
@ATTRIBUTE num_positive_words   Numeric
@ATTRIBUTE num_negative_words   Numeric
@ATTRIBUTE num_controversial_words  Numeric
@ATTRIBUTE com_percentage   Numeric
@ATTRIBUTE org_percentage Numeric
@ATTRIBUTE gov_percentage   Numeric
@ATTRIBUTE net_percentage Numeric
@ATTRIBUTE edu_percentage   Numeric
@ATTRIBUTE other_percentage     Numeric
@ATTRIBUTE isControversial  {yes,no}

@DATA
75,94079,36,2263,1416,107,6414,6053,1.0596398480092517,0.0029655927465215403,0.0012011182091646382,0.0,0.22429906542056074, 0.4392523364485981, 0.018691588785046728, 0.028037383177570093, 0.09345794392523364, 0.19626168224299065,no
24,91853,20,543,491,53,2373,5340,0.4443820224719101,0.0024277922332422456,0.0008709568549747967,3.2660882061554875e-05,0.7735849056603774, 0.07547169811320754, 0.018867924528301886, 0.07547169811320754, 0, 0.05660377358490566,no
44,91204,47,3052,1204,107,8032,5839,1.3755780099332078,0.0018529889039954387,0.0009319766676900136,0.0,0.308411214953271, 0.38317757009345793, 0.09345794392523364, 0.028037383177570093, 0.12149532710280374, 0.06542056074766354,no
3,92259,6,152,126,34,677,5589,0.12113079262837717,0.000357688680779111,4.335620373080133e-05,0.0,0.20588235294117646, 0.5294117647058824, 0, 0.08823529411764706, 0, 0.17647058823529413,no
19,90083,51,1743,984,91,1694,5998,0.2824274758252751,0.001831644150394636,0.000510640187382747,2.220174727751074e-05,0.5934065934065934, 0.0989010989010989, 0.02197802197802198, 0.04395604395604396, 0.06593406593406594, 0.17582417582417584,no
7,90054,53,87,717,5,1122,3340,0.33592814371257484,0.0020321140648943965,0.0007662069425011659,0.0,0, 0.6, 0, 0.4, 0, 0,no
7,88964,15,330,592,80,771,4552,0.1693760984182777,0.00171979677172789,0.0007193921136639539,0.0,0.525, 0.2625, 0.05, 0.0125, 0.1125, 0.0375,no
24,88183,80,597,956,161,5309,5031,1.0552574040946134,0.002086569973804475,0.0005329825476565778,4.536021682183641e-05,0.5341614906832298, 0.2360248447204969, 0.055900621118012424, 0.024844720496894408, 0.037267080745341616, 0.11180124223602485,no
39,89569,46,1023,791,413,7334,5036,1.4563145353455123,0.002299902868179839,0.000870837008339939,0.0,0.5157384987893463, 0.012106537530266344, 0.002421307506053269, 0.01694915254237288, 0, 0.45278450363196127,no
39,89728,39,1150,840,518,20744,4257,4.872915198496594,0.0018834700427960056,0.0013039407988587731,0.0,0.5057915057915058, 0.1718146718146718, 0.009652509652509652, 0.032818532818532815, 0.003861003861003861, 0.27606177606177607,no
33,89052,46,3387,731,187,9179,4565,2.0107338444687843,0.003020707002650137,0.0007635987962089566,1.1229394061896421e-05,0.6577540106951871, 0.13368983957219252, 0.0213903743315508, 0.0106951871657754, 0.08021390374331551, 0.0962566844919786,no
3,92067,10,216,179,30,837,5795,0.144434857635893,0.0008906557181183269,0.00013033986118804784,0.0,0.13333333333333333, 0.7333333333333333, 0, 0.03333333333333333, 0, 0.1,no
87,88577,24,2810,1175,273,8968,5844,1.5345653661875427,0.002641769308059654,0.0011515404676157468,0.00016934418641408042,0.7655677655677655, 0.0695970695970696, 0.003663003663003663, 0.02197802197802198, 0.01098901098901099, 0.1282051282051282,no
19,83691,25,1046,574,114,2440,5712,0.4271708683473389,0.0024016919382012403,0.0016967176876844584,0.0,0.10526315789473684, 0.6140350877192983, 0.008771929824561403, 0, 0.017543859649122806, 0.2543859649122807,no
82,82833,33,2318,845,239,8958,5964,1.5020120724346075,0.002438641604191566,0.0012072483189067159,2.414496637813432e-05,0.4100418410041841, 0.13807531380753138, 0.04184100418410042, 0.012552301255230125, 0.029288702928870293, 0.3682008368200837,no
10,86387,34,1576,1222,127,3377,5859,0.5763782215395119,0.0016669174760091218,0.00028939539514047255,0.0,0.6299212598425197, 0.12598425196850394, 0.007874015748031496, 0.015748031496062992, 0.06299212598425197, 0.15748031496062992,no
35,80681,65,2205,548,329,8446,5990,1.4100166944908181,0.0020079076858244196,0.0010039538429122098,1.239449188780506e-05,0.5623100303951368, 0.2826747720364742, 0, 0.0243161094224924, 0.015197568389057751, 0.11550151975683891,no
53,84568,26,233,249,110,10433,5604,1.8617059243397573,0.0020693406489452277,0.0014544508561157884,3.547441112477533e-05,0.6090909090909091, 0.19090909090909092, 0.1, 0, 0.06363636363636363, 0.03636363636363636,no
14,86866,25,138,751,233,1045,2714,0.38504053058216653,0.0019225013238781572,0.0006446711026178251,2.302396795063661e-05,0.8454935622317596, 0.030042918454935622, 0.008583690987124463, 0.030042918454935622, 0.07296137339055794, 0.012875536480686695,no
1,86054,0,24,39,10,386,4517,0.08545494797431924,0.0006042717363515932,0.00024403281660352803,0.0,0.3, 0.2, 0, 0, 0.2, 0.3,no
17,82882,18,89,214,214,434,825,0.526060606060606,0.0016167563524046235,0.0004826138365386936,1.206534591346734e-05,0.8037383177570093, 0.03271028037383177, 0.028037383177570093, 0.04205607476635514, 0.009345794392523364, 0.08411214953271028,no
65,85810,29,1433,548,102,2284,5698,0.40084240084240086,0.0019461601211979956,0.0006875655518004894,0.0,0.5098039215686274, 0.09803921568627451, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.3627450980392157,no
26,83127,69,28531,2338,313,27427,5070,5.409664694280079,0.0026345230791439606,0.0008059956452175586,8.42085002466106e-05,0.3226837060702875, 0.134185303514377, 0.006389776357827476, 0, 0.006389776357827476, 0.5303514376996805,no
48,84676,140,98808,1896,575,16063,5980,2.6861204013377926,0.002043081864991261,0.0002361944352591053,5.9048608814776324e-05,0.44173913043478263, 0.2, 0.029565217391304348, 0, 0.04, 0.288695652173913,no
4,80813,3,62,1853,52,353,3907,0.09035065267468646,0.00105181097100714,0.00022273644091915906,0.0,0.23076923076923078, 0.3269230769230769, 0, 0.09615384615384616, 0, 0.34615384615384615,no
2,85196,9,190,144,51,539,5083,0.10603974031084006,0.0006925207756232687,0.00041081740926804074,0.0,0.6470588235294118, 0.19607843137254902, 0.058823529411764705, 0, 0.09803921568627451, 0,no
6,85929,5,11,70,4,361,3382,0.10674157303370786,0.0008844511166195347,0.00016292520569307218,0.0,0.25, 0.5, 0, 0, 0, 0.25,no
5,80742,99,100,1418,4,490,3721,0.13168503090567052,0.0018206138069406257,0.00024770255876743204,1.2385127938371603e-05,0, 0.75, 0, 0, 0.25, 0,no
34,86374,9,773,658,22,2313,5107,0.452907773644018,0.002697571028318707,0.0006136105772570449,0.00011577558061453678,0.9090909090909091, 0, 0, 0.09090909090909091, 0, 0,no
17,80385,14,127,120,62,2209,5699,0.38761186173012807,0.0021148224171176214,0.0007215276481930709,1.2440131865397773e-05,0.41935483870967744, 0.2903225806451613, 0, 0.016129032258064516, 0.0967741935483871, 0.1774193548387097,no
37,80364,26,2640,915,596,11208,4727,2.3710598688385867,0.0033597133044646855,0.0006097257478472948,0.0,0.9345637583892618, 0.03355704697986577, 0.0016778523489932886, 0.006711409395973154, 0, 0.02348993288590604,no
22,86135,50,3534,1923,49,1043,5768,0.1808252427184466,0.0013235038021710106,0.00023219364950368608,1.1609682475184303e-05,0, 0.061224489795918366, 0.02040816326530612, 0, 0, 0.9183673469387755,no
