pageid,net_percentage,org_percentage,avg_revs_per_day,num_links_in,num_controversial_words,gov_percentage,num_negative_words,num_images,com_percentage,article_age_in_days,num_revisions,edu_percentage,num_links_out,other_percentage,num_categories,num_positive_words,num_words,num_references,class
35654790, 0, 0,0.060849056603773585,4,0, 0,2,2,1,2120,129, 0,41, 0,5,4,1552,21,no
375137, 0, 0.4594594594594595,0.3082099596231494,38,0, 0.02702702702702703,5,0,0.2972972972972973,5201,1603, 0,46, 0.21621621621621623,39,7,7284,37,yes
32897, 0.04395604395604396, 0.6263736263736264,2.1484335734628917,8598,0, 0.01098901098901099,26,60,0.08791208791208792,5969,12824, 0.03296703296703297,2086, 0.1978021978021978,54,108,41666,91,yes
22576, 0.01079136690647482, 0.3381294964028777,1.389261744966443,22654,4, 0.007194244604316547,56,71,0.42805755395683454,5960,8280, 0.025179856115107913,2249, 0.1906474820143885,26,165,73343,278,yes
61117, 0.023809523809523808, 0.2857142857142857,0.3048053314626447,939,3, 0,7,5,0.4523809523809524,5702,1738, 0.09523809523809523,325, 0.14285714285714285,11,16,6599,42,yes
1840795, 0, 0.2222222222222222,0.02504280821917808,103,0, 0.1111111111111111,4,5,0.2222222222222222,4672,117, 0,160, 0.4444444444444444,5,6,3078,9,no
435428, 0, 0.5714285714285714,0.013805172078553373,129,0, 0,0,2,0.2857142857142857,5143,71, 0,38, 0.14285714285714285,7,1,1890,7,no
10653, 0, 0.041666666666666664,0.12723141837065888,76,3, 0.013888888888888888,25,0,0.8333333333333334,6162,784, 0.08333333333333333,93, 0.027777777777777776,10,48,27240,72,yes
22163753, 0.03755868544600939, 0.15023474178403756,0.4177955665024631,587,1, 0,28,5,0.4835680751173709,3248,1357, 0.014084507042253521,913, 0.3145539906103286,15,194,72009,213,no
14550266, 0, 0.6666666666666666,0.003218884120171674,4,0, 0,0,0,0,3728,12, 0,14, 0.3333333333333333,4,2,325,3,no
36227004, 0, 0,0.001937046004842615,11,0, 0,0,9,1,2065,4, 0,15, 0,4,0,106,1,no
26814626, 0, 0.35714285714285715,0.018776077885952713,20,0, 0.07142857142857142,3,0,0,2876,54, 0,25, 0.5714285714285714,19,13,3888,14,no
21430607, 0, 0.14285714285714285,0.00818926296633303,18,0, 0,8,2,0.2857142857142857,3297,27, 0,46, 0.5714285714285714,7,15,4934,7,no
56435, 0.0022172949002217295, 0.4035476718403548,1.3624301675977655,1981,126, 0.43902439024390244,52,29,0.08647450110864745,5728,7804, 0.0066518847006651885,361, 0.06208425720620843,16,118,42905,451,yes
43384135, 0, 0,0.003067484662576687,1,0, 0,0,2,1,1304,4, 0,13, 0,5,1,117,1,no
51106671, 0, 0,0.010380622837370242,3,0, 0,0,1,1,578,6, 0,10, 0,11,0,220,1,no
2215778, 0, 0,0.011731479469910927,418,0, 0,0,1,1,4603,54, 0,414, 0,2,7,1091,2,no
3845, 0, 0.1,0.4010185641531132,979,2, 0.011111111111111112,22,15,0.5,6087,2441, 0.011111111111111112,444, 0.37777777777777777,33,56,26883,90,yes
19581062, 0, 1,0.0040887850467289715,6,0, 0,1,2,0,3424,14, 0,17, 0,4,3,474,3,no
41830349, 0, 0.25,0.004070556309362279,273,0, 0,0,4,0,1474,6, 0,290, 0.75,5,0,256,4,no
13753603, 0, 0.5,0.003177124702144559,21,0, 0,0,2,0,3777,12, 0,30, 0.5,6,0,235,2,no
9407570, 0, 0.3076923076923077,0.012170889220069548,12,0, 0.07692307692307693,1,0,0,4026,49, 0.15384615384615385,25, 0.46153846153846156,17,3,2091,13,no
16701837, 0.3333333333333333, 0.6666666666666666,0.004156275976724855,136,0, 0,0,3,0,3609,15, 0,171, 0,11,2,300,3,no
96484, 0, 0.16666666666666666,0.595657590318562,179,3, 0.0784313725490196,33,9,0.696078431372549,5619,3347, 0.0392156862745098,332, 0.0196078431372549,29,35,18990,102,yes
12862518, 0.047619047619047616, 0.38095238095238093,0.0370843989769821,480,0, 0.2857142857142857,0,4,0.14285714285714285,3910,145, 0.047619047619047616,422, 0.09523809523809523,12,3,678,21,no
46754214, 0, 0,0.008964143426294821,2,0, 0,0,4,0.5,1004,9, 0,16, 0.5,10,2,1410,2,no
41826287, 0, 0.08333333333333333,0.12271186440677966,30,0, 0,0,2,0.4166666666666667,1475,181, 0,34, 0.5,21,6,1580,12,no
36562415, 0, 0,0.0024630541871921183,167,0, 0,0,2,0,2030,5, 0,174, 1,7,0,288,2,no
47263655, 0, 0,0.013756613756613757,3,0, 0,0,2,1,945,13, 0,5, 0,8,0,213,2,no
16099, 0, 0.3684210526315789,0.25672289961583433,785,0, 0.03508771929824561,18,9,0.49122807017543857,5987,1537, 0.05263157894736842,627, 0.05263157894736842,32,29,14125,57,yes
2960920, 0.027777777777777776, 0.3888888888888889,0.04775655264326966,108,0, 0.3611111111111111,11,8,0.1388888888888889,4502,215, 0,100, 0.08333333333333333,20,21,8171,36,no
30972975, 0, 0,0.047040376323010585,28,0, 0,2,3,0.6666666666666666,2551,120, 0,90, 0.3333333333333333,9,8,5948,3,yes
192005, 0.009009009009009009, 0.24324324324324326,0.5608639941424126,407,5, 0.036036036036036036,34,17,0.5675675675675675,5463,3064, 0,405, 0.14414414414414414,29,111,44258,111,yes
32197967, 0, 0.16666666666666666,0.012350761630300536,4,0, 0,0,3,0.8333333333333334,2429,30, 0,9, 0,10,0,461,6,no
50605384, 0, 0,0.0880503144654088,4,0, 0,0,1,1,636,56, 0,11, 0,8,4,3058,10,no
8389387, 0.02564102564102564, 0.02564102564102564,0.027172582619339046,109,0, 0,3,3,0.41025641025641024,4085,111, 0,157, 0.5384615384615384,18,33,5846,39,no
337755, 0.03260869565217391, 0.22826086956521738,0.19946605644546148,340,19, 0.021739130434782608,24,38,0.6086956521739131,5244,1046, 0.021739130434782608,294, 0.08695652173913043,11,30,22337,92,yes
17253537, 0.07058823529411765, 0.3411764705882353,0.854592664719247,2740,0, 0.011764705882352941,45,17,0.29411764705882354,6162,5266, 0.023529411764705882,629, 0.25882352941176473,13,64,31023,85,yes
6328331, 0, 0,0.011161244360009499,59,0, 0,0,6,0,4211,47, 0,86, 1,14,0,543,1,no
26316, 0, 0.19658119658119658,0.6782638067893937,2007,1, 0.017094017094017096,45,19,0.452991452991453,5921,4016, 0.1111111111111111,583, 0.2222222222222222,22,74,47125,117,yes
8354382, 0.005376344086021506, 0.10752688172043011,0.30535845363347197,579,2, 0,17,71,0.46774193548387094,4087,1248, 0.005376344086021506,559, 0.41397849462365593,25,85,25380,186,yes
8819688, 0, 0,0.009857072449482503,1,0, 0,0,1,1,4058,40, 0,15, 0,4,0,1059,1,no
956143, 0, 0.2608695652173913,0.05555555555555555,293,0, 0,3,9,0.30434782608695654,4914,273, 0,269, 0.43478260869565216,11,14,8617,23,no
26130891, 0, 0.5,0.006484641638225256,36,0, 0,0,9,0,2930,19, 0,48, 0.5,12,0,1191,2,no
2627820, 0, 0.023474178403755867,1.636903452826039,1457,0, 0.004694835680751174,49,14,0.8826291079812206,4547,7443, 0,419, 0.0892018779342723,60,90,37967,213,yes
6815072, 0, 1,0.007168458781362007,239,0, 0,0,2,0,4185,30, 0,243, 0,5,0,89,1,no
4680907, 0, 0.25,0.04293628808864266,4,0, 0.08333333333333333,0,0,0.4166666666666667,4332,186, 0,28, 0.25,12,0,3174,12,no
19067260, 0, 0.125,0.013583815028901734,145,0, 0,8,8,0.75,3460,47, 0.125,285, 0,6,9,6939,8,no
11461598, 0, 0.3,0.02348136804492088,31,0, 0.1,0,1,0.6,3918,92, 0,31, 0,8,0,989,10,no
2003591, 0, 0.5789473684210527,0.056705476498490726,92,0, 0,17,2,0.21052631578947367,4638,263, 0.10526315789473684,115, 0.10526315789473684,5,33,11718,19,no
12681524, 0, 0,0.00494148244473342,78,0, 0,1,0,1,3845,19, 0,105, 0,7,1,1648,1,no
64692, 0, 0.23529411764705882,0.8496906871760576,454,2, 0,102,26,0.22549019607843138,5981,5082, 0.00980392156862745,757, 0.5294117647058824,24,124,64722,102,yes
3020357, 0, 0.8055555555555556,0.15283648498331479,26,0, 0,3,6,0.1388888888888889,4495,687, 0,68, 0.05555555555555555,9,33,12963,36,yes
14529239, 0.032467532467532464, 0.24025974025974026,0.8856612058773856,489,0, 0.07792207792207792,81,16,0.44805194805194803,5921,5244, 0.025974025974025976,431, 0.17532467532467533,32,99,47624,154,yes
4545, 0.03296703296703297, 0.35714285714285715,0.870712844653665,1028,2, 0.04395604395604396,165,31,0.34065934065934067,5948,5179, 0.08241758241758242,522, 0.14285714285714285,44,249,100539,182,yes
13436, 0, 0.5348837209302325,0.8904310907903331,2289,0, 0.023255813953488372,63,33,0.16279069767441862,6124,5453, 0.023255813953488372,717, 0.2558139534883721,53,165,61210,43,yes
42595853, 0, 0.4,0.00646551724137931,5,0, 0,0,0,0.2,1392,9, 0.2,10, 0.2,9,1,580,5,no
36353118, 0.0625, 0.25,0.025353486104339348,8,0, 0,0,6,0.5625,2051,52, 0,273, 0.125,11,21,4972,16,no
56392337, 0, 0,0.25,2,0, 0,2,2,0.5,24,6, 0,8, 0.5,9,2,618,2,no
52282381, 0, 1,0.006535947712418301,3,0, 0,0,0,0,459,3, 0,4, 0,5,0,170,2,no
684813, 0, 0.15,0.4815479752643128,929,3, 0.05,38,15,0.4083333333333333,5013,2414, 0.15,759, 0.24166666666666667,31,80,41202,120,yes
25270883, 0.041666666666666664, 0.041666666666666664,0.04968322774258086,10,0, 0,0,2,0.8333333333333334,2999,149, 0,30, 0.08333333333333333,10,7,2741,24,no
1923870, 0.0045351473922902496, 0.07709750566893424,1.48581865062312,483,3, 0,44,17,0.4852607709750567,4654,6915, 0,491, 0.4331065759637188,37,96,41096,441,yes
1489377, 0, 0,0.08033648790746582,70,0, 0,12,1,0.9583333333333334,4755,382, 0,132, 0.041666666666666664,2,20,7206,24,no
1361082, 0, 0.30434782608695654,0.11853088480801335,2612,0, 0,25,3,0.21739130434782608,4792,568, 0.30434782608695654,96, 0.17391304347826086,13,30,11730,23,yes
12686162, 0.012987012987012988, 0.06493506493506493,0.31365409622886864,264,0, 0.11688311688311688,9,17,0.7402597402597403,3845,1206, 0,268, 0.06493506493506493,21,22,12564,77,yes
26194461, 0, 0.5,0.006837606837606838,2,0, 0,0,3,0,2925,20, 0,10, 0.5,5,1,450,2,no
5746050, 0, 0,0.01246472248353716,5,0, 0,0,3,0,4252,53, 0,10, 1,9,2,1010,1,no
12561015, 0.003816793893129771, 0.18702290076335878,1.2887351778656126,461,1, 0.007633587786259542,29,13,0.5954198473282443,5060,6521, 0.003816793893129771,340, 0.20229007633587787,28,67,36621,262,yes
33320626, 0, 0,0.015047291487532245,27,0, 0,0,3,1,2326,35, 0,48, 0,8,0,1718,1,no
5030, 0, 0.16666666666666666,0.6239141543178334,419,0, 0,67,10,0.31746031746031744,5871,3663, 0.007936507936507936,280, 0.5079365079365079,27,67,41667,126,yes
54638711, 0, 0,0.08653846153846154,1,0, 1,1,9,0,208,18, 0,3, 0,3,0,329,4,no
1565467, 0, 0.2,0.017959011197971688,24,0, 0.06666666666666667,2,4,0.2,4733,85, 0.13333333333333333,17, 0.4,13,5,2707,15,no
43889842, 0.5, 0,0.004815409309791332,2,0, 0,0,2,0,1246,6, 0.5,13, 0,7,0,152,2,no
7980471, 0.004484304932735426, 0.3811659192825112,1.2487386478304743,3761,2, 0.17488789237668162,113,16,0.23766816143497757,5946,7425, 0.05829596412556054,520, 0.14349775784753363,32,113,57384,223,yes
31934063, 0, 1,0.004887983706720978,15,0, 0,2,0,0,2455,12, 0,12, 0,8,0,430,3,no
286527, 0.03389830508474576, 0.2033898305084746,0.25447016751364576,870,0, 0.01694915254237288,9,14,0.5084745762711864,5313,1352, 0.11864406779661017,442, 0.11864406779661017,20,34,17489,59,yes
138208, 0, 0.3333333333333333,0.008045771500089397,13,0, 0.6666666666666666,1,2,0,5593,45, 0,114, 0,3,3,2312,6,no
70157, 0.012048192771084338, 0.30120481927710846,1.0839506172839506,2012,2, 0.09036144578313253,65,29,0.3072289156626506,5670,6146, 0.08433734939759036,517, 0.20481927710843373,27,176,56407,166,yes
17526432, 0, 0,0.048314606741573035,10,0, 0,0,0,0.6666666666666666,3560,172, 0,21, 0.3333333333333333,7,2,978,3,no
199630, 0.011235955056179775, 0.03932584269662921,0.8927653323540213,3765,0, 0,12,21,0.8539325842696629,5446,4862, 0,586, 0.09550561797752809,18,73,32114,178,yes
3630813, 0, 1,0.007005649717514125,8,0, 0,0,4,0,4425,31, 0,36, 0,4,10,2655,4,no
47896187, 0.010025062656641603, 0.047619047619047616,2.076222980659841,236,2, 0.042606516290726815,65,25,0.6541353383458647,879,1825, 0.007518796992481203,444, 0.23809523809523808,51,146,77788,399,yes
20948, 0.04285714285714286, 0.42857142857142855,0.5487929275756546,605,1, 0.08571428571428572,27,5,0.32857142857142857,5882,3228, 0.04285714285714286,362, 0.07142857142857142,13,53,22655,70,yes
27417455, 0.03278688524590164, 0.08196721311475409,0.6513966480446928,847,2, 0.01639344262295082,22,19,0.39344262295081966,5370,3498, 0.01639344262295082,528, 0.45901639344262296,31,46,22456,61,yes
16597487, 0, 0.0873015873015873,0.43344519015659955,1116,1, 0.031746031746031744,22,36,0.8809523809523809,5364,2325, 0,561, 0,22,53,33802,126,yes
26585826, 0, 0.0784313725490196,0.02626123013130615,65,0, 0,6,7,0.0196078431372549,2894,76, 0,151, 0.9019607843137255,11,16,9949,51,no
30701560, 0, 1,0.004662004662004662,92,0, 0,0,2,0,2574,12, 0,115, 0,4,0,464,1,no
63578, 0.021739130434782608, 0.14673913043478262,0.6976118398923646,205,0, 0.16304347826086957,9,113,0.2826086956521739,5946,4148, 0.005434782608695652,368, 0.3804347826086957,28,19,10926,184,yes
35571884, 0, 0.21052631578947367,0.03289473684210526,2,0, 0.05263157894736842,0,0,0.05263157894736842,2128,70, 0,31, 0.6842105263157895,10,5,4489,19,no
9587, 0.023255813953488372, 0.4418604651162791,0.983249581239531,1453,1, 0.18604651162790697,60,15,0.13953488372093023,5970,5870, 0.023255813953488372,597, 0.18604651162790697,15,90,34080,86,yes
175552, 0.011764705882352941, 0.058823529411764705,0.43353336970358247,560,2, 0.011764705882352941,30,8,0.8117647058823529,5499,2384, 0,602, 0.10588235294117647,74,60,29108,85,yes
9236, 0.0038095238095238095, 0.4657142857142857,2.4716663864133177,4616,0, 0.35619047619047617,50,43,0.03333333333333333,5947,14699, 0.11142857142857143,1026, 0.029523809523809525,20,229,69201,1050,yes
16204789, 0, 0.35,0.029193059763150647,11,0, 0.05,2,2,0.15,3631,106, 0,120, 0.45,15,22,11250,20,no
38556957, 0, 0.4,0.009863013698630137,1,0, 0,0,0,0.4,1825,18, 0,18, 0.2,2,7,1547,5,no
32639002, 0, 0.5,0.005443886097152429,2,0, 0,0,0,0.5,2388,13, 0,123, 0,7,0,102,2,no
863, 0.037037037037037035, 0.21481481481481482,1.9845378151260504,32841,2, 0.06666666666666667,113,56,0.5111111111111111,5950,11808, 0.11851851851851852,1148, 0.05185185185185185,30,179,93364,135,yes
864, 0, 0.4,1.472348293830896,2573,0, 0.010256410256410256,21,18,0.4461538461538462,5949,8759, 0.015384615384615385,717, 0.1282051282051282,87,147,56160,195,yes
