pageid,num_categories,num_words,num_images,num_links_in,num_links_out,num_references,num_revisions
1017769,6,3282,10,269,271,5,110
892426,16,3991,0,163,137,26,396
36227004,4,106,9,11,15,1,4
41963391,5,377,2,4,12,2,18
43774321,11,2969,0,7,17,9,67
38675042,8,2129,2,46,54,2,24
42217583,17,2590,1,7,13,11,37
54476586,7,507,2,2,149,9,8
44139616,4,10028,5,4,26,10,15
22163753,15,72009,5,587,913,213,1357
36918402,5,2977,0,2,19,2,24
32280184,6,649,1,1,17,1,8
48692593,5,4961,0,1,3,5,15
37670102,4,287,16,4,80,1,26
40689672,8,278,2,99,107,3,4
1841402,10,3120,0,8,23,2,59
35074191,25,14468,6,55,98,25,151
4317442,11,1019,2,32,45,1,32
43948079,11,1520,0,7,24,1,27
38851733,13,996,0,44,63,9,19
2026126,6,8452,6,70,83,9,154
26883505,9,2419,2,59,69,10,55
22833742,2,3410,0,7,13,15,56
11325079,4,414,31,24,214,1,47
43302261,5,113,0,2,13,2,4
18056891,6,1654,5,7,157,2,34
31092839,6,2132,0,17,23,12,18
36217459,5,130,0,1,15,1,3
51413079,8,1628,1,5,11,12,121
26046263,10,167,3,269,292,4,10
47369493,5,3087,40,179,587,1,348
5990829,10,2820,5,29,58,7,128
4164702,22,3507,5,21,65,31,125
55415258,9,427,4,9,19,2,53
38443759,5,192,1,1,13,2,7
19012861,10,363,3,81,112,6,14
49705437,13,8609,1,10,48,14,18
35777199,5,88,5,87,102,2,7
30855048,16,6369,10,6,42,1,93
45683178,11,1152,31,3,11,5,18
20391040,6,642,2,2,21,1,15
43846068,12,3614,2,10,34,6,18
2568958,7,3511,4,6,33,7,86
31232003,3,3464,0,5,305,2,44
36687596,22,817,1,64,45,5,113
26627703,18,1252,4,68,44,3,114
8740507,3,1067,16,21,62,4,94
291984,43,5742,9,507,506,25,296
31623384,13,3527,3,17,7,5,60
28194126,6,33635,1,22,63,3,1235
2655329,20,726,6,63,16,5,94
17277123,15,1303,2,8,34,11,35
43304634,10,1140,0,4,22,1,16
31249351,6,3226,4,1,19,3,7
15290626,7,1176,5,185,34,4,38
12681524,7,1648,0,78,105,1,19
1520573,9,3407,2,12,21,16,45
36562415,7,288,2,167,174,2,5
8219421,8,1584,0,25,30,6,104
7152699,10,755,3,28,42,1,46
30298314,5,380,2,8,12,2,12
1727283,11,1508,3,11,12,6,128
12549595,8,193,2,3,26,9,26
5241302,8,5044,3,119,296,21,138
47588660,14,958,0,29,98,4,26
40343760,8,6452,4,19,27,6,161
31214009,5,365,18,493,575,1,36
20501321,10,3166,8,31,30,10,37
46320063,9,2979,24,108,94,12,171
1469194,10,1953,12,71,158,6,103
21955910,10,474,4,2,7,1,32
29111512,10,1280,3,1,22,14,49
38861535,5,664,16,68,210,3,14
25412480,10,362,1,12,9,6,19
418268,4,2512,4,197,273,3,49
3114337,12,3545,2,8,33,16,187
9073622,9,1602,2,11,31,5,38
439295,9,1289,3,146,343,11,167
40436495,3,825,37,15,11,1,38
38711238,5,332,1,11,38,2,39
36336700,5,281,4,427,457,4,4
23595351,5,1629,3,26,33,6,20
39291382,6,934,0,9,17,4,14
27896181,12,10334,5,98,109,8,64
427025,11,8035,15,180,399,15,244
23588179,6,705,0,124,145,6,22
49343689,6,571,1,7,16,6,9
47957127,5,3934,1,2,9,13,50
14691507,3,3219,5,315,252,29,119
3817892,12,3780,6,148,82,8,143
31059338,12,2690,3,27,101,1,24
51852004,2,1550,0,6,2,22,53
47685547,2,4647,1,8,17,8,26
9149957,7,6111,0,34,43,27,180
25456727,6,182,0,2,15,1,7
49748211,8,3125,5,60,76,16,28
6063427,8,1006,8,12,112,5,30
24569338,6,4282,3,34,45,2,26
35236721,3,211,2,3,7,1,18
34615647,10,892,3,13,71,6,34
14549166,18,920,2,46,64,1,42
9648367,8,1031,7,10,167,3,35
21158400,5,337,5,24,35,2,7
7972592,18,880,3,7,6,7,48
22493089,16,2594,0,15,53,8,35
47626128,1,840,0,38,25,1,71
21295977,7,2238,1,15,16,2,10
801776,7,15766,4,179,150,87,224
32766841,8,547,3,10,7,1,19
51566459,7,6622,1,1,9,11,32
26460819,8,1627,1,3,23,31,54
11456763,5,3382,3,36,46,5,152
32866211,7,2830,5,201,164,9,43
202168,20,19948,3,435,165,67,6824
1608724,10,5583,6,319,34,10,329
344462,16,23261,13,5134,319,28,3052
38438451,1,2972,2,4,59,16,53
4680907,12,3174,0,4,28,12,186
26184067,7,884,2,5,27,10,6
3928,9,5435,26,225,74,6,2042
50076511,8,820,2,2,17,4,14
32447735,6,273,6,1,53,6,17
11961216,20,937,4,84,84,4,49
4644002,8,9857,3,70,225,82,445
365245,42,39099,11,1182,402,73,1205
37556233,5,242,3,29,44,2,6
27934293,4,1106,6,17,936,5,74
28068911,10,1615,2,113,95,4,40
435428,7,1890,2,129,38,7,71
580387,17,2311,3,52,43,10,125
920468,23,13743,6,225,180,36,893
19149016,13,7922,1,48,74,10,197
1168100,8,4277,7,18,81,1,37
29237103,5,615,2,13,13,1,18
37355253,7,528,3,13,3,1,16
41985046,4,109,0,1,11,1,3
45059702,5,676,0,3,14,2,7
15656583,7,435,9,567,571,4,48
31837227,7,14222,6,153,265,12,131
2504380,7,2075,3,9,27,7,75
24783102,7,886,22,145,124,3,85
44344893,4,1094,2,1,25,1,4
13274172,14,2182,1,7,19,12,63
49263358,5,7079,8,41,73,19,66
56383219,16,2837,0,3,50,7,2
9621755,5,199,6,105,271,2,22
27736652,7,2644,3,7,35,11,26
12699597,12,400,4,33,39,1,61
50864202,6,878,20,174,115,1,38
26358313,11,4152,2,2,48,21,82
19957,12,10317,6,590,531,24,646
1214126,26,25793,11,206,252,255,1930
46286190,15,4632,0,31,56,13,86
33962973,5,125,4,6,15,2,7
26121408,7,1922,17,21,57,1,19
45579556,5,135,0,1,11,1,6
24048050,19,317,2,2,41,2,17
40919574,5,740,3,40,13,2,12
21708021,7,910,5,64,67,5,26
10174138,11,806,5,11,27,5,29
39780009,10,423,4,73,82,4,27
1606495,12,423,6,16,20,2,35
14625406,6,538,7,1,8,5,11
38023324,10,231,11,11,9,1,29
34377637,8,1092,0,2,26,4,14
6932095,9,3261,15,168,145,5,181
1253979,11,6618,16,287,254,9,275
22018423,10,1886,0,47,75,6,68
42595853,9,580,0,5,10,5,9
41092173,6,247,4,324,341,4,6
638076,4,753,6,86,75,3,60
1115399,6,1230,0,5,16,3,28
48047980,4,729,6,41,76,4,7
2003591,5,11718,2,92,115,19,263
36058948,6,461,3,2,18,4,3
1840795,5,3078,5,103,160,9,117
33012752,7,81,1,3,4,2,8
135359,4,7272,7,47,78,15,103
19581062,4,474,2,6,17,3,14
23789750,7,1451,2,5,7,2,19
47955245,1,486,0,5,8,5,7
2006845,22,60272,41,180,389,17,747
15441363,5,410,0,32,62,2,38
43382257,6,341,5,1,10,1,3
19353075,1,4755,0,294,854,2,127
15930508,5,169,7,514,531,3,34
3198742,14,5249,2,49,109,13,149
5686612,3,1793,0,415,59,3,349
54367412,9,639,4,36,60,3,4
22567163,6,5591,2,3,16,5,53
1489298,15,3064,0,32,39,17,216
16695158,1,1209,0,3,6,3,21
6480313,12,450,3,7,13,2,40
47173356,14,1403,6,2,3,1,12
5569789,9,631,5,343,342,3,22
32391125,15,492,2,9,16,2,18
55526643,7,234,34,4,5,1,1
22054874,10,4590,2,2,35,23,74
27237522,4,124,2,21,33,2,5
19200105,18,653,3,24,48,6,49
28195311,8,809,3,3,8,5,82
50454583,1,1235,2,244,240,4,6
20118456,9,3917,0,20,30,11,63
21562110,5,431,4,18,29,2,6
12169644,6,5954,6,59,64,11,68
6458186,5,10244,2,12,351,33,241
2388291,7,5692,8,12,200,1,101
28764489,11,1121,5,6,15,24,35
56533,11,21596,8,570,503,89,577
12350893,7,459,4,2,31,12,23
34349807,7,1423,0,6,15,1,48
51178617,4,1712,3,76,131,4,18
34628447,12,977,4,170,192,9,59
40532405,4,184,6,27,51,2,5
10788411,13,4944,2,45,36,16,100
33428127,10,1258,1,36,62,3,45
1129119,10,500,4,129,242,9,52
27965147,5,74,6,20,33,1,8
44046707,11,228,1,3,4,2,13
21021032,8,660,2,31,17,6,83
47263655,8,213,2,3,5,2,13
10043986,6,1631,2,2,17,2,41
12478382,8,623,5,12,17,2,13
1752306,23,5064,3,13,35,19,375
618849,7,1066,6,65,145,3,101
18977896,4,235,5,61,79,3,17
33629657,5,1032,12,209,369,9,14
38198079,9,1082,2,10,19,1,22
49344742,4,700,0,5,6,1,8
24603687,19,5520,5,1,33,12,49
36453137,5,282,3,3,13,2,4
14778577,14,1876,1,8,13,3,48
56409155,4,189,3,2,18,9,3
38348184,1,605,2,4,73,23,11
28854903,8,83,2,1101,1200,2,7
41826287,21,1580,2,30,34,12,181
47562947,4,11968,6,222,299,66,1531
54902960,5,879,2,80,140,5,9
1508321,7,2270,2,51,29,5,62
40283469,18,2559,3,13,16,12,25
26061,29,79117,98,25413,1353,173,5599
4658004,6,270,4,181,202,2,30
8419083,13,728,2,22,18,6,24
27120543,35,17908,13,80,240,99,1107
22052858,1,2949,0,3,8,7,81
24702718,17,11981,3,66,110,126,286
21549918,5,10922,66,80,328,20,185
18325342,8,457,23,3,6,3,20
52142737,4,467,27,4,162,1,9
43731504,6,1501,1,3,13,7,171
12439335,6,317,2,10,12,4,13
480754,28,37258,10,354,284,21,766
2005256,13,3190,0,46,31,20,224
15729149,8,325,21,3,4,2,13
18097683,7,748,1,23,50,4,26
10978883,5,1021,2,126,142,7,29
22485353,6,372,3,10,39,6,11
15325979,5,499,4,5,7,4,4
31935791,3,215,9,10,37,1,29
10978340,12,3961,4,1,13,3,40
12862518,12,678,4,480,422,21,145
19192369,6,2959,2,8,14,1,36
30584090,4,152,4,1,9,2,6
1138590,15,40821,21,198,224,34,1211
2789593,8,10166,2,240,468,2,142
21835119,12,1023,0,13,65,5,24
11534128,19,722,2,108,118,4,58
23995233,4,167,2,1,9,2,7
39828450,7,172,1,3,3,1,6
35654790,5,1552,2,4,41,21,129
2121589,32,8056,1,215,139,12,414
42064584,5,2013,0,2,12,3,11
19285737,7,1100,2,2,24,9,12
48596092,3,641,19,46,171,2,67
32018751,9,513,2,1,5,5,27
26890200,18,9998,24,311,348,19,430
36413629,10,106,3,4,13,1,6
1884025,4,2408,8,11,32,16,68
28225240,6,3029,10,26,26,10,108
21563298,3,174,1,3,22,9,53
32639002,7,102,0,2,123,2,13
866050,20,2819,7,64,47,16,91
2844974,10,9539,2,194,246,26,697
25016006,6,141,6,33,98,2,20
3671284,11,994,2,92,19,3,154
24094933,5,66,4,2,4,1,21
11150914,29,873,209,592,736,230,4183
30104759,8,501,5,7,19,3,35
9246149,8,1888,4,23,43,8,60
28051719,3,725,5,5,20,6,11
15557133,7,1137,7,81,90,7,44
24849028,9,816,3,2,15,4,22
1565467,13,2707,4,24,17,15,85
38556957,2,1547,0,1,18,5,18
46782867,11,629,3,5,12,1,12
55601739,6,638,2,1,18,2,4
38479160,14,1403,2,6,12,4,20
144811,25,5047,6,293,280,10,374
13039443,8,295,21,4,5,2,17
34254502,4,173,7,4,8,1,9
50747826,2,337,11,36,80,2,2
23828530,4,237,7,4,46,1,13
33557205,9,77,1,5,4,2,11
40193987,3,917,0,1,25,3,7
2645196,13,7613,6,76,82,6,96
53238538,5,794,2,1,29,9,4
43192439,3,5099,4,2,296,173,395
